data,dhw,irradiancia
2018-05-06 00:00:00+00:00,,39.97666666666667
2018-05-07 00:00:00+00:00,,42.24718333333333
2018-05-08 00:00:00+00:00,,40.761196850393695
2018-05-09 00:00:00+00:00,,30.763154362416106
2018-05-10 00:00:00+00:00,,37.601183193277315
2018-05-11 00:00:00+00:00,,25.70539393939394
2018-05-12 00:00:00+00:00,,42.28112268907563
2018-05-13 00:00:00+00:00,,42.14580677966102
2018-05-14 00:00:00+00:00,,27.35187064676617
2018-05-15 00:00:00+00:00,,38.17576842105263
2018-05-16 00:00:00+00:00,,39.938638370118845
2018-05-17 00:00:00+00:00,,39.467942078364565
2018-05-18 00:00:00+00:00,,39.04652684563759
2018-05-19 00:00:00+00:00,,40.95183445945946
2018-05-20 00:00:00+00:00,,38.28832081911263
2018-05-21 00:00:00+00:00,,12.522653198653199
2018-05-22 00:00:00+00:00,,37.41336518771331
2018-05-23 00:00:00+00:00,,35.54146243739566
2018-05-24 00:00:00+00:00,,36.12495454545454
2018-05-25 00:00:00+00:00,,38.32562814070352
2018-05-26 00:00:00+00:00,,15.060909395973153
2018-05-27 00:00:00+00:00,,29.437778151260503
2018-05-28 00:00:00+00:00,,32.60191932773109
2018-05-29 00:00:00+00:00,,37.04922789115646
2018-05-30 00:00:00+00:00,,36.86051677852349
2018-05-31 00:00:00+00:00,,30.18654644808743
2018-06-01 00:00:00+00:00,,33.221799331103675
2018-06-02 00:00:00+00:00,,28.676700680272113
2018-06-03 00:00:00+00:00,,37.597292929292934
2018-06-04 00:00:00+00:00,,18.443686868686868
2018-06-05 00:00:00+00:00,,27.75857525083612
2018-06-06 00:00:00+00:00,,37.72732775919732
2018-06-07 00:00:00+00:00,,37.87275471698113
2018-06-08 00:00:00+00:00,,38.29494966442953
2018-06-09 00:00:00+00:00,,24.136077519379846
2018-06-10 00:00:00+00:00,,27.416682352941177
2018-06-11 00:00:00+00:00,,15.88647619047619
2018-06-12 00:00:00+00:00,,37.98259932659933
2018-06-13 00:00:00+00:00,,37.93011036789297
2018-06-14 00:00:00+00:00,,37.39751443123939
2018-06-15 00:00:00+00:00,,37.86109364548495
2018-06-16 00:00:00+00:00,,37.87644311377245
2018-06-17 00:00:00+00:00,,36.71502348993288
2018-06-18 00:00:00+00:00,,37.72163513513513
2018-06-19 00:00:00+00:00,,30.573150501672238
2018-06-20 00:00:00+00:00,,32.67820538720539
2018-06-21 00:00:00+00:00,,26.941509369676318
2018-06-22 00:00:00+00:00,,37.44735785953177
2018-06-23 00:00:00+00:00,,26.875343485617595
2018-06-24 00:00:00+00:00,,28.673483221476513
2018-06-25 00:00:00+00:00,,37.57912605042017
2018-06-26 00:00:00+00:00,,34.6561744966443
2018-06-27 00:00:00+00:00,,37.73299490662139
2018-06-28 00:00:00+00:00,,33.3501744966443
2018-06-29 00:00:00+00:00,,29.437429541595925
2018-06-30 00:00:00+00:00,,31.703932659932658
2018-07-01 00:00:00+00:00,,34.866814814814816
2018-07-02 00:00:00+00:00,,35.34583439490446
